,buying,maint,doors,persons,lug_boot,safety,result
1234,2,1,1,2,2,2,1
863,0,1,3,2,0,0,1
1585,1,2,2,2,2,2,1
1037,2,0,2,1,2,0,1
1280,2,1,3,1,2,0,1
632,0,0,3,1,2,0,1
1444,1,0,1,1,1,2,1
674,0,2,0,2,0,0,1
686,0,2,1,1,2,0,1
1076,2,0,3,2,1,0,1
1127,2,2,1,2,2,0,1
805,0,1,1,2,1,2,1
557,0,0,0,1,0,0,1
1721,1,1,3,2,2,0,1
418,3,1,3,1,1,2,1
1637,1,1,0,1,0,0,1
958,2,3,3,1,1,2,1
878,2,3,0,1,1,0,1
593,0,0,1,2,0,0,1
373,3,1,1,2,1,2,1
1186,2,2,3,2,0,2,1
932,2,3,2,1,1,0,1
1145,2,2,2,1,2,0,1
746,0,2,3,1,0,0,1
398,3,1,2,2,2,0,1
323,3,2,3,2,0,0,1
428,3,1,3,2,1,0,1
389,3,1,2,1,2,0,1
1255,2,1,2,1,1,2,1
1183,2,2,3,2,1,2,1
1613,1,2,3,2,2,0,1
1133,2,2,1,2,0,0,1
1657,1,1,1,1,2,2,1
1310,1,3,0,1,1,0,1
1312,1,3,0,1,0,2,1
1441,1,0,1,1,2,2,1
1565,1,2,1,2,0,0,1
1132,2,2,1,2,0,2,1
1534,1,2,0,2,1,2,1
1696,1,1,2,2,1,2,1
584,0,0,1,1,0,0,1
1607,1,2,3,1,1,0,1
1403,1,3,3,2,0,0,1
890,2,3,0,2,0,0,1
1556,1,2,1,1,0,0,1
914,2,3,1,2,1,0,1
565,0,0,0,2,0,2,1
959,2,3,3,1,1,0,1
1636,1,1,0,1,0,2,1
752,0,2,3,2,1,0,1
430,3,1,3,2,0,2,1
551,0,0,0,1,2,0,1
566,0,0,0,2,0,0,1
1576,1,2,2,1,2,2,1
938,2,3,2,2,2,0,1
1615,1,2,3,2,1,2,1
848,0,1,3,1,2,0,1
1198,2,1,0,1,2,2,1
1724,1,1,3,2,1,0,1
1558,1,2,1,2,2,2,1
1481,1,0,2,2,1,0,1
1210,2,1,0,2,1,2,1
1414,1,0,0,1,2,2,1
1507,1,0,3,2,1,2,1
1064,2,0,3,1,2,0,1
1091,2,2,0,1,2,0,1
1151,2,2,2,1,0,0,1
1187,2,2,3,2,0,0,1
1049,2,0,2,2,1,0,1
956,2,3,3,1,2,0,1
1685,1,1,2,1,2,0,1
1471,1,0,2,1,1,2,1
367,3,1,1,1,0,2,1
821,0,1,2,1,2,0,1
313,3,2,3,1,0,2,1
689,0,2,1,1,1,0,1
617,0,0,2,2,1,0,1
227,3,2,0,1,2,0,1
1429,1,0,0,2,0,2,1
1508,1,0,3,2,1,0,1
1225,2,1,1,1,2,2,1
616,0,0,2,2,1,2,1
832,0,1,2,2,1,2,1
1717,1,1,3,1,0,2,1
290,3,2,2,2,2,0,1
1097,2,2,0,1,0,0,1
1184,2,2,3,2,1,0,1
1291,2,1,3,2,1,2,1
998,2,0,0,2,0,0,1
1687,1,1,2,1,1,2,1
1616,1,2,3,2,1,0,1
1453,1,0,1,2,1,2,1
718,0,2,2,1,0,2,1
727,0,2,2,2,0,2,1
1633,1,1,0,1,1,2,1
1313,1,3,0,1,0,0,1
772,0,1,0,1,0,2,1
1256,2,1,2,1,1,0,1
995,2,0,0,2,1,0,1
643,0,0,3,2,1,2,1
377,3,1,1,2,0,0,1
803,0,1,1,2,2,0,1
728,0,2,2,2,0,0,1
961,2,3,3,1,0,2,1
1129,2,2,1,2,1,2,1
1582,1,2,2,1,0,2,1
1390,1,3,3,1,1,2,1
1670,1,1,1,2,1,0,1
310,3,2,3,1,1,2,1
823,0,1,2,1,1,2,1
1642,1,1,0,2,1,2,1
781,0,1,0,2,0,2,1
830,0,1,2,2,2,0,1
1237,2,1,1,2,1,2,1
230,3,2,0,1,1,0,1
634,0,0,3,1,1,2,1
1718,1,1,3,1,0,0,1
1688,1,1,2,1,1,0,1
1529,1,2,0,1,0,0,1
1555,1,2,1,1,0,2,1
797,0,1,1,1,1,0,1
1400,1,3,3,2,1,0,1
1393,1,3,3,1,0,2,1
1592,1,2,2,2,0,0,1
1252,2,1,2,1,2,2,1
563,0,0,0,2,1,0,1
1096,2,2,0,1,0,2,1
1634,1,1,0,1,1,0,1
929,2,3,2,1,2,0,1
391,3,1,2,1,1,2,1
395,3,1,2,1,0,0,1
1472,1,0,2,1,1,0,1
1456,1,0,1,2,0,2,1
1669,1,1,1,2,1,2,1
931,2,3,2,1,1,2,1
1498,1,0,3,1,1,2,1
799,0,1,1,1,0,2,1
1561,1,2,1,2,1,2,1
907,2,3,1,1,0,2,1
1126,2,2,1,2,2,2,1
1238,2,1,1,2,1,0,1
1427,1,0,0,2,1,0,1
638,0,0,3,1,0,0,1
917,2,3,1,2,0,0,1
1645,1,1,0,2,0,2,1
644,0,0,3,2,1,0,1
659,0,2,0,1,2,0,1
1559,1,2,1,2,2,0,1
860,0,1,3,2,1,0,1
1484,1,0,2,2,0,0,1
1430,1,0,0,2,0,0,1
1538,1,2,0,2,0,0,1
662,0,2,0,1,1,0,1
1106,2,2,0,2,0,0,1
322,3,2,3,2,0,2,1
1010,2,0,1,1,2,0,1
1699,1,1,2,2,0,2,1
743,0,2,3,1,1,0,1
1505,1,0,3,2,2,0,1
836,0,1,2,2,0,0,1
1552,1,2,1,1,1,2,1
347,3,1,0,2,1,0,1
1231,2,1,1,1,0,2,1
1154,2,2,2,2,2,0,1
1714,1,1,3,1,1,2,1
1019,2,0,1,2,2,0,1
371,3,1,1,2,2,0,1
695,0,2,1,2,2,0,1
1024,2,0,1,2,0,2,1
1367,1,3,2,1,0,0,1
1241,2,1,1,2,0,0,1
1726,1,1,3,2,0,2,1
422,3,1,3,1,0,0,1
308,3,2,3,1,2,0,1
1445,1,0,1,1,1,0,1
1420,1,0,0,1,0,2,1
754,0,2,3,2,0,2,1
374,3,1,1,2,1,0,1
1120,2,2,1,1,1,2,1
311,3,2,3,1,1,0,1
239,3,2,0,2,1,0,1
970,2,3,3,2,0,2,1
941,2,3,2,2,1,0,1
724,0,2,2,2,1,2,1
962,2,3,3,1,0,0,1
1526,1,2,0,1,1,0,1
1118,2,2,1,1,2,0,1
1267,2,1,2,2,0,2,1
269,3,2,1,2,0,0,1
1226,2,1,1,1,2,0,1
1046,2,0,2,2,2,0,1
1039,2,0,2,1,1,2,1
1630,1,1,0,1,2,2,1
1345,1,3,1,2,1,2,1
607,0,0,2,1,1,2,1
691,0,2,1,1,0,2,1
965,2,3,3,2,2,0,1
1418,1,0,0,1,1,0,1
1319,1,3,0,2,1,0,1
419,3,1,3,1,1,0,1
292,3,2,2,2,1,2,1
1690,1,1,2,1,0,2,1
1268,2,1,2,2,0,0,1
1589,1,2,2,2,1,0,1
1022,2,0,1,2,1,0,1
1090,2,2,0,1,2,2,1
317,3,2,3,2,2,0,1
1052,2,0,2,2,0,0,1
1286,2,1,3,1,0,0,1
1619,1,2,3,2,0,0,1
1697,1,1,2,2,1,0,1
1417,1,0,0,1,1,2,1
1658,1,1,1,1,2,0,1
620,0,0,2,2,0,0,1
854,0,1,3,1,0,0,1
940,2,3,2,2,1,2,1
376,3,1,1,2,0,2,1
1289,2,1,3,2,2,0,1
1294,2,1,3,2,0,2,1
880,2,3,0,1,0,2,1
1160,2,2,2,2,0,0,1
1079,2,0,3,2,0,0,1
1040,2,0,2,1,1,0,1
857,0,1,3,2,2,0,1
943,2,3,2,2,0,2,1
725,0,2,2,2,1,0,1
1553,1,2,1,1,1,0,1
1364,1,3,2,1,1,0,1
1157,2,2,2,2,1,0,1
1525,1,2,0,1,1,2,1
1073,2,0,3,2,2,0,1
1723,1,1,3,2,1,2,1
1177,2,2,3,1,0,2,1
349,3,1,0,2,0,2,1
1124,2,2,1,1,0,0,1
1591,1,2,2,2,0,2,1
916,2,3,1,2,0,2,1
637,0,0,3,1,0,2,1
1475,1,0,2,1,0,0,1
319,3,2,3,2,1,2,1
697,0,2,1,2,1,2,1
1202,2,1,0,1,1,0,1
1426,1,0,0,2,1,2,1
1265,2,1,2,2,1,0,1
1451,1,0,1,2,2,0,1
989,2,0,0,1,0,0,1
1204,2,1,0,1,0,2,1
1066,2,0,3,1,1,2,1
698,0,2,1,2,1,0,1
368,3,1,1,1,0,0,1
1586,1,2,2,2,2,0,1
1537,1,2,0,2,0,2,1
392,3,1,2,1,1,0,1
773,0,1,0,1,0,0,1
241,3,2,0,2,0,2,1
1370,1,3,2,2,2,0,1
1213,2,1,0,2,0,2,1
263,3,2,1,2,2,0,1
605,0,0,2,1,2,0,1
1144,2,2,2,1,2,2,1
1447,1,0,1,1,0,2,1
1606,1,2,3,1,1,2,1
1510,1,0,3,2,0,2,1
1105,2,2,0,2,0,2,1
394,3,1,2,1,0,2,1
665,0,2,0,1,0,0,1
1502,1,0,3,1,0,0,1
268,3,2,1,2,0,2,1
767,0,1,0,1,2,0,1
1048,2,0,2,2,1,2,1
1181,2,2,3,2,2,0,1
1348,1,3,1,2,0,2,1
1610,1,2,3,1,0,0,1
1123,2,2,1,1,0,2,1
1178,2,2,3,1,0,0,1
1042,2,0,2,1,0,2,1
286,3,2,2,1,0,2,1
1148,2,2,2,1,1,0,1
935,2,3,2,1,0,0,1
1070,2,0,3,1,0,0,1
583,0,0,1,1,0,2,1
1646,1,1,0,2,0,0,1
610,0,0,2,1,0,2,1
1211,2,1,0,2,1,0,1
1067,2,0,3,1,1,0,1
1457,1,0,1,2,0,0,1
908,2,3,1,1,0,0,1
715,0,2,2,1,1,2,1
1483,1,0,2,2,0,2,1
1549,1,2,1,1,2,2,1
590,0,0,1,2,1,0,1
1117,2,2,1,1,2,2,1
1343,1,3,1,2,2,0,1
233,3,2,0,1,0,0,1
281,3,2,2,1,2,0,1
1295,2,1,3,2,0,0,1
1349,1,3,1,2,0,0,1
647,0,0,3,2,0,0,1
1069,2,0,3,1,0,2,1
1093,2,2,0,1,1,2,1
859,0,1,3,2,1,2,1
1235,2,1,1,2,2,0,1
1307,1,3,0,1,2,0,1
1282,2,1,3,1,1,2,1
338,3,1,0,1,1,0,1
619,0,0,2,2,0,2,1
1415,1,0,0,1,2,0,1
1643,1,1,0,2,1,0,1
1474,1,0,2,1,0,2,1
967,2,3,3,2,1,2,1
1025,2,0,1,2,0,0,1
1711,1,1,3,1,2,2,1
1618,1,2,3,2,0,2,1
755,0,2,3,2,0,0,1
1399,1,3,3,2,1,2,1
1013,2,0,1,1,1,0,1
1159,2,2,2,2,0,2,1
700,0,2,1,2,0,2,1
403,3,1,2,2,0,2,1
1604,1,2,3,1,2,0,1
362,3,1,1,1,2,0,1
1078,2,0,3,2,0,2,1
266,3,2,1,2,1,0,1
401,3,1,2,2,1,0,1
1285,2,1,3,1,0,2,1
1673,1,1,1,2,0,0,1
265,3,2,1,2,1,2,1
1454,1,0,1,2,1,0,1
592,0,0,1,2,0,2,1
862,0,1,3,2,0,2,1
1666,1,1,1,2,2,2,1
1201,2,1,0,1,1,2,1
635,0,0,3,1,1,0,1
1121,2,2,1,1,1,0,1
1715,1,1,3,1,1,0,1
1397,1,3,3,2,2,0,1
1691,1,1,2,1,0,0,1
296,3,2,2,2,0,0,1
1376,1,3,2,2,0,0,1
295,3,2,2,2,0,2,1
425,3,1,3,2,2,0,1
1442,1,0,1,1,2,0,1
1511,1,0,3,2,0,0,1
1612,1,2,3,2,2,2,1
835,0,1,2,2,0,2,1
1174,2,2,3,1,1,2,1
242,3,2,0,2,0,0,1
1346,1,3,1,2,1,0,1
421,3,1,3,1,0,2,1
1334,1,3,1,1,2,0,1
259,3,2,1,1,0,2,1
1199,2,1,0,1,2,0,1
1361,1,3,2,1,2,0,1
1388,1,3,3,1,2,0,1
1477,1,0,2,2,2,2,1
1375,1,3,2,2,0,2,1
1130,2,2,1,2,1,0,1
1016,2,0,1,1,0,0,1
427,3,1,3,2,1,2,1
