buying,maint,doors,persons,lug_boot,safety,class
vhigh,low,2,4,small,med,Bad
vhigh,low,2,4,small,high,Good
vhigh,low,2,4,med,low,Bad
vhigh,low,2,4,med,med,Bad
vhigh,low,2,4,med,high,Good
vhigh,low,2,4,big,low,Bad
vhigh,low,2,4,big,med,Good
vhigh,low,2,4,big,high,Good
vhigh,low,2,more,small,low,Bad
vhigh,low,2,more,small,med,Bad
vhigh,low,2,more,small,high,Bad
vhigh,low,2,more,med,low,Bad
vhigh,low,2,more,med,med,Bad
vhigh,low,2,more,med,high,Good
vhigh,low,2,more,big,low,Bad
vhigh,low,2,more,big,med,Good
vhigh,low,2,more,big,high,Good
vhigh,low,3,2,small,low,Bad
vhigh,low,3,2,small,med,Bad
vhigh,low,3,2,small,high,Bad
vhigh,low,3,2,med,low,Bad
vhigh,low,3,2,med,med,Bad
vhigh,low,3,2,med,high,Bad
vhigh,low,3,2,big,low,Bad
vhigh,low,3,2,big,med,Bad
vhigh,low,3,2,big,high,Bad
vhigh,low,3,4,small,low,Bad
vhigh,low,3,4,small,med,Bad
vhigh,low,3,4,small,high,Good
vhigh,low,3,4,med,low,Bad
vhigh,low,3,4,med,med,Bad
vhigh,low,3,4,med,high,Good
vhigh,low,3,4,big,low,Bad
vhigh,low,3,4,big,med,Good
vhigh,low,3,4,big,high,Good
vhigh,low,3,more,small,low,Bad
vhigh,low,3,more,small,med,Bad
vhigh,low,3,more,small,high,Good
vhigh,low,3,more,med,low,Bad
vhigh,low,3,more,med,med,Good
vhigh,low,3,more,med,high,Good
vhigh,low,3,more,big,low,Bad
vhigh,low,3,more,big,med,Good
vhigh,low,3,more,big,high,Good
vhigh,low,4,2,small,low,Bad
vhigh,low,4,2,small,med,Bad
vhigh,low,4,2,small,high,Bad
vhigh,low,4,2,med,low,Bad
vhigh,low,4,2,med,med,Bad
vhigh,low,4,2,med,high,Bad
vhigh,low,4,2,big,low,Bad
vhigh,low,4,2,big,med,Bad
vhigh,low,4,2,big,high,Bad
vhigh,low,4,4,small,low,Bad
vhigh,low,4,4,small,med,Bad
vhigh,low,4,4,small,high,Good
vhigh,low,4,4,med,low,Bad
vhigh,low,4,4,med,med,Good
vhigh,low,4,4,med,high,Good
vhigh,low,4,4,big,low,Bad
vhigh,low,4,4,big,med,Good
vhigh,low,4,4,big,high,Good
vhigh,low,4,more,small,low,Bad
vhigh,low,4,more,small,med,Bad
vhigh,low,4,more,small,high,Good
vhigh,low,4,more,med,low,Bad
vhigh,low,4,more,med,med,Good
vhigh,low,4,more,med,high,Good
vhigh,low,4,more,big,low,Bad
vhigh,low,4,more,big,med,Good
vhigh,low,4,more,big,high,Good
vhigh,low,5more,2,small,low,Bad
vhigh,low,5more,2,small,med,Bad
vhigh,low,5more,2,small,high,Bad
vhigh,low,5more,2,med,low,Bad
vhigh,low,5more,2,med,med,Bad
vhigh,low,5more,2,med,high,Bad
vhigh,low,5more,2,big,low,Bad
vhigh,low,5more,2,big,med,Bad
vhigh,low,5more,2,big,high,Bad
vhigh,low,5more,4,small,low,Bad
vhigh,low,5more,4,small,med,Bad
vhigh,low,5more,4,small,high,Good
vhigh,low,5more,4,med,low,Bad
vhigh,low,5more,4,med,med,Good
vhigh,low,5more,4,med,high,Good
vhigh,low,5more,4,big,low,Bad
vhigh,low,5more,4,big,med,Good
vhigh,low,5more,4,big,high,Good
vhigh,low,5more,more,small,low,Bad
vhigh,low,5more,more,small,med,Bad
vhigh,low,5more,more,small,high,Good
vhigh,low,5more,more,med,low,Bad
vhigh,low,5more,more,med,med,Good
vhigh,low,5more,more,med,high,Good
vhigh,low,5more,more,big,low,Bad
vhigh,low,5more,more,big,med,Good
vhigh,low,5more,more,big,high,Good
high,vhigh,2,2,small,low,Bad
high,vhigh,2,2,small,med,Bad
high,vhigh,2,2,small,high,Bad
high,vhigh,2,2,med,low,Bad
high,vhigh,2,2,med,med,Bad
high,vhigh,2,2,med,high,Bad
high,vhigh,2,2,big,low,Bad
high,vhigh,2,2,big,med,Bad
high,vhigh,2,2,big,high,Bad
high,vhigh,2,4,small,low,Bad
high,vhigh,2,4,small,med,Bad
high,vhigh,2,4,small,high,Bad
high,vhigh,2,4,med,low,Bad
high,vhigh,2,4,med,med,Bad
high,vhigh,2,4,med,high,Bad
high,vhigh,2,4,big,low,Bad
high,vhigh,2,4,big,med,Bad
high,vhigh,2,4,big,high,Bad
high,vhigh,2,more,small,low,Bad
high,vhigh,2,more,small,med,Bad
high,vhigh,2,more,small,high,Bad
high,vhigh,2,more,med,low,Bad
high,vhigh,2,more,med,med,Bad
high,vhigh,2,more,med,high,Bad
high,vhigh,2,more,big,low,Bad
high,vhigh,2,more,big,med,Bad
high,vhigh,2,more,big,high,Bad
high,vhigh,3,2,small,low,Bad
high,vhigh,3,2,small,med,Bad
high,vhigh,3,2,small,high,Bad
high,vhigh,3,2,med,low,Bad
high,vhigh,3,2,med,med,Bad
high,vhigh,3,2,med,high,Bad
high,vhigh,3,2,big,low,Bad
high,vhigh,3,2,big,med,Bad
high,vhigh,3,2,big,high,Bad
high,vhigh,3,4,small,low,Bad
high,vhigh,3,4,small,med,Bad
high,vhigh,3,4,small,high,Bad
high,vhigh,3,4,med,low,Bad
high,vhigh,3,4,med,med,Bad
high,vhigh,3,4,med,high,Bad
high,vhigh,3,4,big,low,Bad
high,vhigh,3,4,big,med,Bad
high,vhigh,3,4,big,high,Bad
high,vhigh,3,more,small,low,Bad
high,vhigh,3,more,small,med,Bad
high,vhigh,3,more,small,high,Bad
high,vhigh,3,more,med,low,Bad
high,vhigh,3,more,med,med,Bad
high,vhigh,3,more,med,high,Bad
high,vhigh,3,more,big,low,Bad
high,vhigh,3,more,big,med,Bad
high,vhigh,3,more,big,high,Bad
high,vhigh,4,2,small,low,Bad
high,vhigh,4,2,small,med,Bad
high,vhigh,4,2,small,high,Bad
high,vhigh,4,2,med,low,Bad
high,vhigh,4,2,med,med,Bad
high,vhigh,4,2,med,high,Bad
high,vhigh,4,2,big,low,Bad
high,vhigh,4,2,big,med,Bad
high,vhigh,4,2,big,high,Bad
high,vhigh,4,4,small,low,Bad
high,vhigh,4,4,small,med,Bad
high,vhigh,4,4,small,high,Bad
high,vhigh,4,4,med,low,Bad
high,vhigh,4,4,med,med,Bad
high,vhigh,4,4,med,high,Bad
high,vhigh,4,4,big,low,Bad
high,vhigh,4,4,big,med,Bad
high,vhigh,4,4,big,high,Bad
high,vhigh,4,more,small,low,Bad
high,vhigh,4,more,small,med,Bad
high,vhigh,4,more,small,high,Bad
high,vhigh,4,more,med,low,Bad
high,vhigh,4,more,med,med,Bad
high,vhigh,4,more,med,high,Bad
high,vhigh,4,more,big,low,Bad
high,vhigh,4,more,big,med,Bad
high,vhigh,4,more,big,high,Bad
high,vhigh,5more,2,small,low,Bad
high,vhigh,5more,2,small,med,Bad
high,vhigh,5more,2,small,high,Bad
high,vhigh,5more,2,med,low,Bad
high,vhigh,5more,2,med,med,Bad
high,vhigh,5more,2,med,high,Bad
high,vhigh,5more,2,big,low,Bad
high,vhigh,5more,2,big,med,Bad
high,vhigh,5more,2,big,high,Bad
high,vhigh,5more,4,small,low,Bad
high,vhigh,5more,4,small,med,Bad
high,vhigh,5more,4,small,high,Bad
high,vhigh,5more,4,med,low,Bad
high,vhigh,5more,4,med,med,Bad
high,vhigh,5more,4,med,high,Bad
high,vhigh,5more,4,big,low,Bad
high,vhigh,5more,4,big,med,Bad
high,vhigh,5more,4,big,high,Bad
high,vhigh,5more,more,small,low,Bad
high,vhigh,5more,more,small,med,Bad
high,vhigh,5more,more,small,high,Bad
high,vhigh,5more,more,med,low,Bad
high,vhigh,5more,more,med,med,Bad
high,vhigh,5more,more,med,high,Bad
high,vhigh,5more,more,big,low,Bad
high,vhigh,5more,more,big,med,Bad
high,vhigh,5more,more,big,high,Bad
high,high,2,2,small,low,Bad
high,high,2,2,small,med,Bad
high,high,2,2,small,high,Bad
high,high,2,2,med,low,Bad
high,high,2,2,med,med,Bad
high,high,2,2,med,high,Bad
high,high,2,2,big,low,Bad
high,high,2,2,big,med,Bad
high,high,2,2,big,high,Bad
high,high,2,4,small,low,Bad
high,high,2,4,small,med,Bad
high,high,2,4,small,high,Good
high,high,2,4,med,low,Bad
high,high,2,4,med,med,Bad
high,high,2,4,med,high,Good
high,high,2,4,big,low,Bad
high,high,2,4,big,med,Good
high,high,2,4,big,high,Good
high,high,2,more,small,low,Bad
high,high,2,more,small,med,Bad
high,high,2,more,small,high,Bad
high,high,2,more,med,low,Bad
high,high,2,more,med,med,Bad
high,high,2,more,med,high,Good
high,high,2,more,big,low,Bad
high,high,2,more,big,med,Good
high,high,2,more,big,high,Good
high,high,3,2,small,low,Bad
high,high,3,2,small,med,Bad
high,high,3,2,small,high,Bad
high,high,3,2,med,low,Bad
high,high,3,2,med,med,Bad
high,high,3,2,med,high,Bad
high,high,3,2,big,low,Bad
high,high,3,2,big,med,Bad
high,high,3,2,big,high,Bad
high,high,3,4,small,low,Bad
high,high,3,4,small,med,Bad
high,high,3,4,small,high,Good
high,high,3,4,med,low,Bad
high,high,3,4,med,med,Bad
high,high,3,4,med,high,Good
high,high,3,4,big,low,Bad
high,high,3,4,big,med,Good
high,high,3,4,big,high,Good
high,high,3,more,small,low,Bad
high,high,3,more,small,med,Bad
high,high,3,more,small,high,Good
high,high,3,more,med,low,Bad
high,high,3,more,med,med,Good
high,high,3,more,med,high,Good
high,high,3,more,big,low,Bad
high,high,3,more,big,med,Good
high,high,3,more,big,high,Good
high,high,4,2,small,low,Bad
high,high,4,2,small,med,Bad
high,high,4,2,small,high,Bad
high,high,4,2,med,low,Bad
high,high,4,2,med,med,Bad
high,high,4,2,med,high,Bad
high,high,4,2,big,low,Bad
high,high,4,2,big,med,Bad
high,high,4,2,big,high,Bad
high,high,4,4,small,low,Bad
high,high,4,4,small,med,Bad
high,high,4,4,small,high,Good
high,high,4,4,med,low,Bad
high,high,4,4,med,med,Good
high,high,4,4,med,high,Good
high,high,4,4,big,low,Bad
high,high,4,4,big,med,Good
high,high,4,4,big,high,Good
high,high,4,more,small,low,Bad
high,high,4,more,small,med,Bad
high,high,4,more,small,high,Good
high,high,4,more,med,low,Bad
high,high,4,more,med,med,Good
high,high,4,more,med,high,Good
high,high,4,more,big,low,Bad
high,high,4,more,big,med,Good
high,high,4,more,big,high,Good
high,high,5more,2,small,low,Bad
high,high,5more,2,small,med,Bad
high,high,5more,2,small,high,Bad
high,high,5more,2,med,low,Bad
high,high,5more,2,med,med,Bad
high,high,5more,2,med,high,Bad
high,high,5more,2,big,low,Bad
high,high,5more,2,big,med,Bad
high,high,5more,2,big,high,Bad
high,high,5more,4,small,low,Bad
high,high,5more,4,small,med,Bad
high,high,5more,4,small,high,Good
high,high,5more,4,med,low,Bad
high,high,5more,4,med,med,Good
high,high,5more,4,med,high,Good
high,high,5more,4,big,low,Bad
high,high,5more,4,big,med,Good
high,high,5more,4,big,high,Good
high,high,5more,more,small,low,Bad
high,high,5more,more,small,med,Bad
high,high,5more,more,small,high,Good
high,high,5more,more,med,low,Bad
high,high,5more,more,med,med,Good
high,high,5more,more,med,high,Good
high,high,5more,more,big,low,Bad
high,high,5more,more,big,med,Good
high,high,5more,more,big,high,Good
high,med,2,2,small,low,Bad
high,med,2,2,small,med,Bad
high,med,2,2,small,high,Bad
high,med,2,2,med,low,Bad
high,med,2,2,med,med,Bad
high,med,2,2,med,high,Bad
high,med,2,2,big,low,Bad
high,med,2,2,big,med,Bad
high,med,2,2,big,high,Bad
high,med,2,4,small,low,Bad
high,med,2,4,small,med,Bad
high,med,2,4,small,high,Good
high,med,2,4,med,low,Bad
high,med,2,4,med,med,Bad
high,med,2,4,med,high,Good
high,med,2,4,big,low,Bad
high,med,2,4,big,med,Good
high,med,2,4,big,high,Good
high,med,2,more,small,low,Bad
high,med,2,more,small,med,Bad
high,med,2,more,small,high,Bad
high,med,2,more,med,low,Bad
high,med,2,more,med,med,Bad
high,med,2,more,med,high,Good
high,med,2,more,big,low,Bad
high,med,2,more,big,med,Good
high,med,2,more,big,high,Good
high,med,3,2,small,low,Bad
high,med,3,2,small,med,Bad
high,med,3,2,small,high,Bad
high,med,3,2,med,low,Bad
high,med,3,2,med,med,Bad
high,med,3,2,med,high,Bad
high,med,3,2,big,low,Bad
high,med,3,2,big,med,Bad
high,med,3,2,big,high,Bad
high,med,3,4,small,low,Bad
high,med,3,4,small,med,Bad
high,med,3,4,small,high,Good
high,med,3,4,med,low,Bad
high,med,3,4,med,med,Bad
high,med,3,4,med,high,Good
high,med,3,4,big,low,Bad
high,med,3,4,big,med,Good
high,med,3,4,big,high,Good
high,med,3,more,small,low,Bad
high,med,3,more,small,med,Bad
high,med,3,more,small,high,Good
high,med,3,more,med,low,Bad
high,med,3,more,med,med,Good
high,med,3,more,med,high,Good
high,med,3,more,big,low,Bad
high,med,3,more,big,med,Good
high,med,3,more,big,high,Good
high,med,4,2,small,low,Bad
high,med,4,2,small,med,Bad
high,med,4,2,small,high,Bad
high,med,4,2,med,low,Bad
high,med,4,2,med,med,Bad
high,med,4,2,med,high,Bad
high,med,4,2,big,low,Bad
high,med,4,2,big,med,Bad
high,med,4,2,big,high,Bad
high,med,4,4,small,low,Bad
high,med,4,4,small,med,Bad
high,med,4,4,small,high,Good
high,med,4,4,med,low,Bad
high,med,4,4,med,med,Good
high,med,4,4,med,high,Good
high,med,4,4,big,low,Bad
high,med,4,4,big,med,Good
high,med,4,4,big,high,Good
high,med,4,more,small,low,Bad
high,med,4,more,small,med,Bad
high,med,4,more,small,high,Good
high,med,4,more,med,low,Bad
high,med,4,more,med,med,Good
high,med,4,more,med,high,Good
high,med,4,more,big,low,Bad
high,med,4,more,big,med,Good
high,med,4,more,big,high,Good
high,med,5more,2,small,low,Bad
high,med,5more,2,small,med,Bad
high,med,5more,2,small,high,Bad
high,med,5more,2,med,low,Bad
high,med,5more,2,med,med,Bad
high,med,5more,2,med,high,Bad
high,med,5more,2,big,low,Bad
high,med,5more,2,big,med,Bad
high,med,5more,2,big,high,Bad
high,med,5more,4,small,low,Bad
high,med,5more,4,small,med,Bad
high,med,5more,4,small,high,Good
high,med,5more,4,med,low,Bad
high,med,5more,4,med,med,Good
high,med,5more,4,med,high,Good
high,med,5more,4,big,low,Bad
high,med,5more,4,big,med,Good
high,med,5more,4,big,high,Good
high,med,5more,more,small,low,Bad
