,buying,maint,doors,persons,lug_boot,safety,result
1045,2,0,2,2,2,2,0
1621,1,1,0,0,2,2,0
225,3,2,0,1,2,1,0
820,0,1,2,1,2,2,0
1,3,3,0,0,2,2,0
675,0,2,1,0,2,1,0
847,0,1,3,1,2,2,0
855,0,1,3,2,2,1,0
412,3,1,3,0,0,2,0
544,0,0,0,0,1,2,0
331,3,1,0,0,0,2,0
816,0,1,2,0,0,1,0
1189,2,1,0,0,2,2,0
518,0,3,3,0,1,0,0
919,2,3,2,0,2,2,0
463,0,3,1,0,1,2,0
271,3,2,2,0,2,2,0
1665,1,1,1,2,2,1,0
496,0,3,2,1,2,2,0
277,3,2,2,0,0,2,0
501,0,3,2,1,0,1,0
526,0,3,3,1,1,2,0
432,0,3,0,0,2,1,0
543,0,0,0,0,1,1,0
1338,1,3,1,1,0,1,0
1365,1,3,2,1,0,1,0
184,3,0,2,2,1,2,0
469,0,3,1,1,2,2,0
693,0,2,1,2,2,1,0
1146,2,2,2,1,1,1,0
172,3,0,2,1,2,2,0
348,3,1,0,2,0,1,0
730,0,2,3,0,2,2,0
217,3,2,0,0,2,2,0
519,0,3,3,0,0,1,0
1330,1,3,1,0,0,2,0
1082,2,2,0,0,2,0,0
525,0,3,3,1,1,1,0
354,3,1,1,0,1,1,0
342,3,1,0,2,2,1,0
144,3,0,1,1,2,1,0
1629,1,1,0,1,2,1,0
213,3,0,3,2,0,1,0
179,3,0,2,1,0,0,0
51,3,3,1,2,0,1,0
385,3,1,2,0,0,2,0
957,2,3,3,1,1,1,0
1250,2,1,2,0,0,0,0
1000,2,0,1,0,2,2,0
464,0,3,1,0,1,0,0
621,0,0,3,0,2,1,0
625,0,0,3,0,1,2,0
1179,2,2,3,2,2,1,0
708,0,2,2,0,0,1,0
994,2,0,0,2,1,2,0
515,0,3,3,0,2,0,0
1080,2,2,0,0,2,1,0
411,3,1,3,0,0,1,0
1644,1,1,0,2,0,1,0
1218,2,1,1,0,1,1,0
540,0,0,0,0,2,1,0
1323,1,3,1,0,2,1,0
1304,1,3,0,0,0,0,0
200,3,0,3,1,2,0,0
1649,1,1,1,0,2,0,0
510,0,3,2,2,0,1,0
215,3,0,3,2,0,0,0
440,0,3,0,0,0,0,0
1116,2,2,1,1,2,1,0
244,3,2,1,0,2,2,0
1473,1,0,2,1,0,1,0
1327,1,3,1,0,1,2,0
188,3,0,2,2,0,0,0
1012,2,0,1,1,1,2,0
325,3,1,0,0,2,2,0
1188,2,1,0,0,2,1,0
1587,1,2,2,2,1,1,0
1311,1,3,0,1,0,1,0
37,3,3,1,1,2,2,0
449,0,3,0,1,0,0,0
1308,1,3,0,1,1,1,0
165,3,0,2,0,1,1,0
456,0,3,0,2,0,1,0
300,3,2,3,0,1,1,0
991,2,0,0,2,2,2,0
301,3,2,3,0,1,2,0
1702,1,1,3,0,2,2,0
48,3,3,1,2,1,1,0
765,0,1,0,1,2,1,0
922,2,3,2,0,1,2,0
747,0,2,3,2,2,1,0
552,0,0,0,1,1,1,0
1196,2,1,0,0,0,0,0
1306,1,3,0,1,2,2,0
0,3,3,0,0,2,1,0
609,0,0,2,1,0,1,0
1452,1,0,1,2,1,1,0
294,3,2,2,2,0,1,0
329,3,1,0,0,1,0,0
1167,2,2,3,0,0,1,0
1318,1,3,0,2,1,2,0
361,3,1,1,1,2,2,0
891,2,3,1,0,2,1,0
1368,1,3,2,2,2,1,0
219,3,2,0,0,1,1,0
1462,1,0,2,0,1,2,0
1428,1,0,0,2,0,1,0
1683,1,1,2,1,2,1,0
904,2,3,1,1,1,2,0
1086,2,2,0,0,0,1,0
1533,1,2,0,2,1,1,0
1680,1,1,2,0,0,1,0
333,3,1,0,1,2,1,0
1396,1,3,3,2,2,2,0
1166,2,2,3,0,1,0,0
344,3,1,0,2,2,0,0
1058,2,0,3,0,1,0,0
791,0,1,1,0,0,0,0
1036,2,0,2,1,2,2,0
156,3,0,1,2,1,1,0
1084,2,2,0,0,1,2,0
1419,1,0,0,1,0,1,0
70,3,3,2,1,0,2,0
162,3,0,2,0,2,1,0
305,3,2,3,0,0,0,0
312,3,2,3,1,0,1,0
61,3,3,2,0,0,2,0
132,3,0,0,2,0,1,0
1602,1,2,3,1,2,1,0
748,0,2,3,2,2,2,0
918,2,3,2,0,2,1,0
407,3,1,3,0,2,0,0
86,3,3,3,0,1,0,0
895,2,3,1,0,1,2,0
711,0,2,2,1,2,1,0
778,0,1,0,2,1,2,0
789,0,1,1,0,0,1,0
874,2,3,0,1,2,2,0
1593,1,2,3,0,2,1,0
930,2,3,2,1,1,1,0
100,3,3,3,2,2,2,0
130,3,0,0,2,1,2,0
1062,2,0,3,1,2,1,0
951,2,3,3,0,0,1,0
541,0,0,0,0,2,2,0
1379,1,3,3,0,2,0,0
710,0,2,2,0,0,0,0
253,3,2,1,1,2,2,0
379,3,1,2,0,2,2,0
856,0,1,3,2,2,2,0
1381,1,3,3,0,1,2,0
771,0,1,0,1,0,1,0
97,3,3,3,1,0,2,0
1155,2,2,2,2,1,1,0
601,0,0,2,0,0,2,0
1554,1,2,1,1,0,1,0
488,0,3,2,0,2,0,0
1260,2,1,2,2,2,1,0
1600,1,2,3,0,0,2,0
1611,1,2,3,2,2,1,0
481,0,3,1,2,1,2,0
124,3,0,0,1,0,2,0
1242,2,1,2,0,2,1,0
1489,1,0,3,0,1,2,0
1705,1,1,3,0,1,2,0
762,0,1,0,0,0,1,0
499,0,3,2,1,1,2,0
642,0,0,3,2,1,1,0
1134,2,2,2,0,2,1,0
358,3,1,1,0,0,2,0
1486,1,0,3,0,2,2,0
597,0,0,2,0,1,1,0
388,3,1,2,1,2,2,0
113,3,0,0,0,1,0,0
981,2,0,0,1,2,1,0
267,3,2,1,2,0,1,0
897,2,3,1,0,0,1,0
137,3,0,1,0,2,0,0
226,3,2,0,1,2,2,0
223,3,2,0,0,0,2,0
558,0,0,0,2,2,1,0
363,3,1,1,1,1,1,0
92,3,3,3,1,2,0,0
1424,1,0,0,2,2,0,0
511,0,3,2,2,0,2,0
1627,1,1,0,0,0,2,0
1107,2,2,1,0,2,1,0
560,0,0,0,2,2,0,0
870,2,3,0,0,0,1,0
445,0,3,0,1,1,2,0
1439,1,0,1,0,0,0,0
90,3,3,3,1,2,1,0
1624,1,1,0,0,1,2,0
1352,1,3,2,0,2,0,0
524,0,3,3,1,2,0,0
237,3,2,0,2,1,1,0
1008,2,0,1,1,2,1,0
1725,1,1,3,2,0,1,0
898,2,3,1,0,0,2,0
603,0,0,2,1,2,1,0
869,2,3,0,0,1,0,0
210,3,0,3,2,1,1,0
231,3,2,0,1,0,1,0
328,3,1,0,0,1,2,0
1524,1,2,0,1,1,1,0
1678,1,1,2,0,1,2,0
84,3,3,3,0,1,1,0
289,3,2,2,2,2,2,0
1059,2,0,3,0,0,1,0
975,2,0,0,0,1,1,0
1041,2,0,2,1,0,1,0
885,2,3,0,2,1,1,0
1519,1,2,0,0,0,2,0
1547,1,2,1,0,0,0,0
1362,1,3,2,1,1,1,0
1161,2,2,3,0,2,1,0
250,3,2,1,0,0,2,0
1674,1,1,2,0,2,1,0
714,0,2,2,1,1,1,0
143,3,0,1,0,0,0,0
59,3,3,2,0,1,0,0
20,3,3,0,2,2,0,0
927,2,3,2,1,2,1,0
275,3,2,2,0,1,0,0
707,0,2,2,0,1,0,0
1655,1,1,1,0,0,0,0
1668,1,1,1,2,1,1,0
1217,2,1,1,0,2,0,0
872,2,3,0,0,0,0,0
494,0,3,2,0,0,0,0
1572,1,2,2,0,0,1,0
682,0,2,1,0,0,2,0
1314,1,3,0,2,2,1,0
553,0,0,0,1,1,2,0
871,2,3,0,0,0,2,0
69,3,3,2,1,0,1,0
46,3,3,1,2,2,2,0
892,2,3,1,0,2,2,0
1018,2,0,1,2,2,2,0
78,3,3,2,2,0,1,0
1692,1,1,2,2,2,1,0
112,3,0,0,0,1,2,0
1515,1,2,0,0,1,1,0
436,0,3,0,0,1,2,0
211,3,0,3,2,1,2,0
1422,1,0,0,2,2,1,0
261,3,2,1,2,2,1,0
190,3,0,3,0,2,2,0
1500,1,0,3,1,0,1,0
1315,1,3,0,2,2,2,0
946,2,3,3,0,2,2,0
694,0,2,1,2,2,2,0
1467,1,0,2,1,2,1,0
1527,1,2,0,1,0,1,0
473,0,3,1,1,1,0,0
546,0,0,0,0,0,1,0
1301,1,3,0,0,1,0,0
420,3,1,3,1,0,1,0
602,0,0,2,0,0,0,0
282,3,2,2,1,1,1,0
1257,2,1,2,1,0,1,0
1514,1,2,0,0,2,0,0
1435,1,0,1,0,1,2,0
466,0,3,1,0,0,2,0
1647,1,1,1,0,2,1,0
442,0,3,0,1,2,2,0
1431,1,0,1,0,2,1,0
397,3,1,2,2,2,2,0
1299,1,3,0,0,1,1,0
324,3,1,0,0,2,1,0
865,2,3,0,0,2,2,0
1222,2,1,1,0,0,2,0
923,2,3,2,0,1,0,0
495,0,3,2,1,2,1,0
756,0,1,0,0,2,1,0
443,0,3,0,1,2,0,0
1392,1,3,3,1,0,1,0
595,0,0,2,0,2,2,0
1233,2,1,1,2,2,1,0
1316,1,3,0,2,2,0,0
1245,2,1,2,0,1,1,0
954,2,3,3,1,2,1,0
1359,1,3,2,1,2,1,0
973,2,0,0,0,2,2,0
825,0,1,2,1,0,1,0
1520,1,2,0,0,0,0,0
57,3,3,2,0,1,1,0
1488,1,0,3,0,1,1,0
1493,1,0,3,0,0,0,0
977,2,0,0,0,1,0,0
117,3,0,0,1,2,1,0
202,3,0,3,1,1,2,0
96,3,3,3,1,0,1,0
465,0,3,1,0,0,1,0
894,2,3,1,0,1,1,0
1057,2,0,3,0,1,2,0
1143,2,2,2,1,2,1,0
1571,1,2,2,0,1,0,0
1530,1,2,0,2,2,1,0
1560,1,2,1,2,1,1,0
483,0,3,1,2,0,1,0
478,0,3,1,2,2,2,0
882,2,3,0,2,2,1,0
32,3,3,1,0,1,0,0
502,0,3,2,1,0,2,0
192,3,0,3,0,1,1,0
2,3,3,0,0,2,0,0
174,3,0,2,1,1,1,0
1551,1,2,1,1,1,1,0
1278,2,1,3,1,2,1,0
1248,2,1,2,0,0,1,0
176,3,0,2,1,1,0,0
1005,2,0,1,0,0,1,0
1185,2,2,3,2,0,1,0
13,3,3,0,1,1,2,0
840,0,1,3,0,1,1,0
218,3,2,0,0,2,0,0
818,0,1,2,0,0,0,0
1545,1,2,1,0,0,1,0
7,3,3,0,0,0,2,0
920,2,3,2,0,2,0,0
844,0,1,3,0,0,2,0
158,3,0,1,2,1,0,0
699,0,2,1,2,0,1,0
1011,2,0,1,1,1,1,0
468,0,3,1,1,2,1,0
393,3,1,2,1,0,1,0
258,3,2,1,1,0,1,0
196,3,0,3,0,0,2,0
72,3,3,2,2,2,1,0
925,2,3,2,0,0,2,0
1112,2,2,1,0,1,0,0
712,0,2,2,1,2,2,0
107,3,3,3,2,0,0,0
1541,1,2,1,0,2,0,0
769,0,1,0,1,1,2,0
19,3,3,0,2,2,2,0
974,2,0,0,0,2,0,0
1212,2,1,0,2,0,1,0
531,0,3,3,2,2,1,0
1254,2,1,2,1,1,1,0
153,3,0,1,2,2,1,0
666,0,2,0,2,2,1,0
575,0,0,1,0,0,0,0
1652,1,1,1,0,1,0,0
1434,1,0,1,0,1,1,0
1190,2,1,0,0,2,0,0
414,3,1,3,1,2,1,0
910,2,3,1,2,2,2,0
247,3,2,1,0,1,2,0
1300,1,3,0,0,1,2,0
993,2,0,0,2,1,1,0
1491,1,0,3,0,0,1,0
193,3,0,3,0,1,2,0
921,2,3,2,0,1,1,0
512,0,3,2,2,0,0,0
1244,2,1,2,0,2,0,0
101,3,3,3,2,2,0,0
1698,1,1,2,2,0,1,0
1401,1,3,3,2,0,1,0
105,3,3,3,2,0,1,0
209,3,0,3,2,2,0,0
485,0,3,1,2,0,0,0
185,3,0,2,2,1,0,0
279,3,2,2,1,2,1,0
1464,1,0,2,0,0,1,0
795,0,1,1,1,1,1,0
1679,1,1,2,0,1,0,0
1047,2,0,2,2,1,1,0
980,2,0,0,0,0,0,0
75,3,3,2,2,1,1,0
876,2,3,0,1,1,1,0
613,0,0,2,2,2,2,0
429,3,1,3,2,0,1,0
273,3,2,2,0,1,1,0
804,0,1,1,2,1,1,0
168,3,0,2,0,0,1,0
1517,1,2,0,0,1,0,0
1438,1,0,1,0,0,2,0
703,0,2,2,0,2,2,0
969,2,3,3,2,0,1,0
1302,1,3,0,0,0,1,0
677,0,2,1,0,2,0,0
899,2,3,1,0,0,0,0
306,3,2,3,1,2,1,0
56,3,3,2,0,2,0,0
1371,1,3,2,2,1,1,0
83,3,3,3,0,2,0,0
359,3,1,1,0,0,0,0
849,0,1,3,1,1,1,0
